TimeStamp,Iterations[#],Trgt_Address[Byte],Brst_size[#beats],WrittenWords[512b],AVG_RD_BW[Gbit/s],AVG_WR_BW[Gbit/s],AVG_faults[#],PowOfTwoBytes
2021-11-15,2,16384,512,256,64.8101,79.0734,0,14
2021-11-15,2,16384,256,256,60.5369,79.0734,0,14
2021-11-15,2,16384,128,256,54.2525,78.1679,0,14
2021-11-15,2,16384,64,256,41.1662,76.9925,0,14
2021-11-15,2,16384,32,256,26.8098,74.7445,0,14
2021-11-15,2,16384,16,256,16.6238,70.6207,0,14
2021-11-15,2,16384,8,256,8.96244,63.6025,0,14
2021-11-15,2,16384,4,256,4.73535,53.057,0,14
2021-11-15,2,16384,2,256,2.51396,39.8444,0,14
2021-11-15,2,16384,1,256,1.25467,26.7014,0,14
2021-11-15,2,32768,4096,512,70.1666,79.534,0,15
2021-11-15,2,32768,2048,512,70.2244,79.534,0,15
2021-11-15,2,32768,1024,512,70.1666,79.534,0,15
2021-11-15,2,32768,512,512,70.1666,79.534,0,15
2021-11-15,2,32768,256,512,63.6246,79.0734,0,15
2021-11-15,2,32768,128,512,50.6332,78.4674,0,15
2021-11-15,2,32768,64,512,40.3085,77.283,0,15
2021-11-15,2,32768,32,512,26.1797,75.0183,0,15
2021-11-15,2,32768,16,512,16.3451,70.8651,0,15
2021-11-15,2,32768,8,512,8.90465,63.8006,0,15
2021-11-15,2,32768,4,512,4.74102,53.1948,0,15
2021-11-15,2,32768,2,512,2.50528,39.922,0,15
2021-11-15,2,32768,1,512,1.25381,26.684,0,15
2021-11-15,2,65536,4096,1024,73.9684,79.7663,0,16
2021-11-15,2,65536,2048,1024,73.935,79.7663,0,16
2021-11-15,2,65536,1024,1024,73.9017,79.7663,0,16
2021-11-15,2,65536,512,1024,70.1971,79.534,0,16
2021-11-15,2,65536,256,1024,62.6214,79.2263,0,16
2021-11-15,2,65536,128,1024,54.3597,78.618,0,16
2021-11-15,2,65536,64,1024,39.5566,77.4291,0,16
2021-11-15,2,65536,32,1024,26.5473,75.156,0,16
2021-11-15,2,65536,16,1024,16.615,70.9879,0,16
2021-11-15,2,65536,8,1024,8.90435,63.9002,0,16
2021-11-15,2,65536,4,1024,4.73212,53.264,0,16
2021-11-15,2,65536,2,1024,2.5098,39.961,0,16
2021-11-15,2,65536,1,1024,1.25529,26.6754,0,16
2021-11-15,2,131072,4096,2048,75.3005,79.883,0,17
2021-11-15,2,131072,2048,2048,76.0102,79.883,0,17
2021-11-15,2,131072,1024,2048,73.752,79.7663,0,17
2021-11-15,2,131072,512,2048,69.0568,79.6113,0,17
2021-11-15,2,131072,256,2048,63.3934,79.303,0,17
2021-11-15,2,131072,128,2048,52.7482,78.6936,0,17
2021-11-15,2,131072,64,2048,39.4215,77.5024,0,17
2021-11-15,2,131072,32,2048,26.4472,75.225,0,17
2021-11-15,2,131072,16,2048,16.5136,71.0494,0,17
2021-11-15,2,131072,8,2048,8.88118,63.95,0,17
2021-11-15,2,131072,4,2048,4.73239,53.2986,0,17
2021-11-15,2,131072,2,2048,2.50925,39.9805,0,17
2021-11-15,2,131072,1,2048,1.25569,26.671,0,17
2021-11-15,2,262144,4096,4096,77.4383,79.9414,0,18
2021-11-15,2,262144,2048,4096,75.7905,79.883,0,18
2021-11-15,2,262144,1024,4096,73.5291,79.8052,0,18
2021-11-15,2,262144,512,4096,68.59,79.65,0,18
2021-11-15,2,262144,256,4096,62.9998,79.3414,0,18
2021-11-15,2,262144,128,4096,51.8113,78.7314,0,18
2021-11-15,2,262144,64,4096,39.3329,77.539,0,18
2021-11-15,2,262144,32,4096,26.2386,75.2595,0,18
2021-11-15,2,262144,16,4096,16.5679,71.0803,0,18
2021-11-15,2,262144,8,4096,8.86904,63.975,0,18
2021-11-15,2,262144,4,4096,4.72983,53.316,0,18
2021-11-15,2,262144,2,4096,2.51029,39.9902,0,18
2021-11-15,2,262144,1,4096,1.2552,26.6688,0,18
2021-11-15,2,524288,4096,8192,77.1556,79.9414,0,19
2021-11-15,2,524288,2048,8192,75.9882,79.9025,0,19
2021-11-15,2,524288,1024,8192,73.6862,79.8246,0,19
2021-11-15,2,524288,512,8192,69.3947,79.6693,0,19
2021-11-15,2,524288,256,8192,63.0458,79.3606,0,19
2021-11-15,2,524288,128,8192,51.7396,78.7503,0,19
2021-11-15,2,524288,64,8192,39.1319,77.5574,0,19
2021-11-15,2,524288,32,8192,26.2933,75.2768,0,19
2021-11-15,2,524288,16,8192,16.5681,71.0957,0,19
2021-11-15,2,524288,8,8192,8.87168,63.9875,0,19
2021-11-15,2,524288,4,8192,4.72688,53.3247,0,19
2021-11-15,2,524288,2,8192,2.50977,39.9951,0,19
2021-11-15,2,524288,1,8192,1.25518,26.6678,0,19
2021-11-15,2,1048576,4096,16384,76.9608,79.9512,0,20
2021-11-15,2,1048576,2048,16384,75.8015,79.9122,0,20
2021-11-15,2,1048576,1024,16384,73.9289,79.8343,0,20
2021-11-15,2,1048576,512,16384,68.5795,79.679,0,20
2021-11-15,2,1048576,256,16384,63.1277,79.3702,0,20
2021-11-15,2,1048576,128,16384,51.5809,78.7598,0,20
2021-11-15,2,1048576,64,16384,39.0184,77.5666,0,20
2021-11-15,2,1048576,32,16384,26.2301,75.2855,0,20
2021-11-15,2,1048576,16,16384,16.5681,71.1034,0,20
2021-11-15,2,1048576,8,16384,8.86835,63.9938,0,20
2021-11-15,2,1048576,4,16384,4.72765,53.329,0,20
2021-11-15,2,1048576,2,16384,2.50938,39.9976,0,20
2021-11-15,2,1048576,1,16384,1.25518,26.6672,0,20
2021-11-15,2,2097152,4096,32768,77.0922,79.9561,0,21
2021-11-15,2,2097152,2048,32768,75.8727,79.9171,0,21
2021-11-15,2,2097152,1024,32768,73.8933,79.8392,0,21
2021-11-15,2,2097152,512,32768,68.5613,79.6839,0,21
2021-11-15,2,2097152,256,32768,63.095,79.375,0,21
2021-11-15,2,2097152,128,32768,51.6021,78.7645,0,21
2021-11-15,2,2097152,64,32768,39.0116,77.5712,0,21
2021-11-15,2,2097152,32,32768,26.2485,75.2898,0,21
2021-11-15,2,2097152,16,32768,16.5653,71.1073,0,21
2021-11-15,2,2097152,8,32768,8.86741,63.9969,0,21
2021-11-15,2,2097152,4,32768,4.72728,53.3312,0,21
2021-11-15,2,2097152,2,32768,2.50911,39.9988,0,21
2021-11-15,2,2097152,1,32768,1.25509,26.6669,0,21
2021-11-15,2,4194304,4096,65536,77.0854,79.9585,0,22
2021-11-15,2,4194304,2048,65536,75.8425,79.9195,0,22
2021-11-15,2,4194304,1024,65536,73.8652,79.8416,0,22
2021-11-15,2,4194304,512,65536,67.942,79.6863,0,22
2021-11-15,2,4194304,256,65536,63.0863,79.3774,0,22
2021-11-15,2,4194304,128,65536,51.4439,78.7669,0,22
2021-11-15,2,4194304,64,65536,38.983,77.5735,0,22
2021-11-15,2,4194304,32,65536,26.2429,75.292,0,22
2021-11-15,2,4194304,16,65536,16.5677,71.1092,0,22
2021-11-15,2,4194304,8,65536,8.86822,63.9984,0,22
2021-11-15,2,4194304,4,65536,4.72716,53.3322,0,22
2021-11-15,2,4194304,2,65536,2.50919,39.9994,0,22
2021-11-15,2,4194304,1,65536,1.25508,26.6668,0,22
2021-11-15,2,8388608,4096,131072,76.9292,79.9597,0,23
2021-11-15,2,8388608,2048,131072,75.8757,79.9207,0,23
2021-11-15,2,8388608,1024,131072,73.8811,79.8428,0,23
2021-11-15,2,8388608,512,131072,67.7395,79.6875,0,23
2021-11-15,2,8388608,256,131072,63.065,79.3786,0,23
2021-11-15,2,8388608,128,131072,51.4434,78.768,0,23
2021-11-15,2,8388608,64,131072,38.9712,77.5746,0,23
2021-11-15,2,8388608,32,131072,26.2398,75.293,0,23
2021-11-15,2,8388608,16,131072,16.5697,71.1101,0,23
2021-11-15,2,8388608,8,131072,8.8678,63.9992,0,23
2021-11-15,2,8388608,4,131072,4.7273,53.3328,0,23
2021-11-15,2,8388608,2,131072,2.50919,39.9997,0,23
2021-11-15,2,8388608,1,131072,1.25507,26.6667,0,23
2021-11-15,2,16777216,4096,262144,76.9524,79.9603,0,24
2021-11-15,2,16777216,2048,262144,75.8937,79.9213,0,24
2021-11-15,2,16777216,1024,262144,73.8825,79.8434,0,24
2021-11-15,2,16777216,512,262144,67.7159,79.6881,0,24
2021-11-15,2,16777216,256,262144,63.1796,79.3792,0,24
2021-11-15,2,16777216,128,262144,51.4281,78.7686,0,24
2021-11-15,2,16777216,64,262144,38.9637,77.5752,0,24
2021-11-15,2,16777216,32,262144,26.2406,75.2936,0,24
2021-11-15,2,16777216,16,262144,16.5696,71.1106,0,24
2021-11-15,2,16777216,8,262144,8.86784,63.9996,0,24
2021-11-15,2,16777216,4,262144,4.72733,53.3331,0,24
2021-11-15,2,16777216,2,262144,2.50917,39.9998,0,24
2021-11-15,2,16777216,1,262144,1.25508,26.6667,0,24
2021-11-15,2,33554432,4096,524288,76.9606,79.9607,0,25
2021-11-15,2,33554432,2048,524288,75.8864,79.9216,0,25
2021-11-15,2,33554432,1024,524288,73.8853,79.8438,0,25
2021-11-15,2,33554432,512,524288,67.6729,79.6884,0,25
2021-11-15,2,33554432,256,524288,63.1653,79.3795,0,25
2021-11-15,2,33554432,128,524288,51.4365,78.7689,0,25
2021-11-15,2,33554432,64,524288,38.9627,77.5755,0,25
2021-11-15,2,33554432,32,524288,26.2391,75.2938,0,25
2021-11-15,2,33554432,16,524288,16.5694,71.1109,0,25
2021-11-15,2,33554432,8,524288,8.86774,63.9998,0,25
2021-11-15,2,33554432,4,524288,4.72737,53.3332,0,25
2021-11-15,2,33554432,2,524288,2.50917,39.9999,0,25
2021-11-15,2,33554432,1,524288,1.25507,26.6667,0,25
2021-11-15,2,67108864,4096,1048576,76.9097,79.9608,0,26
2021-11-15,2,67108864,2048,1048576,75.8829,79.9218,0,26
2021-11-15,2,67108864,1024,1048576,73.8841,79.8439,0,26
2021-11-15,2,67108864,512,1048576,67.6718,79.6886,0,26
2021-11-15,2,67108864,256,1048576,63.1756,79.3797,0,26
2021-11-15,2,67108864,128,1048576,51.4273,78.7691,0,26
2021-11-15,2,67108864,64,1048576,38.9613,77.5756,0,26
2021-11-15,2,67108864,32,1048576,26.2395,75.294,0,26
2021-11-15,2,67108864,16,1048576,16.5693,71.111,0,26
2021-11-15,2,67108864,8,1048576,8.86776,63.9999,0,26
2021-11-15,2,67108864,4,1048576,4.72736,53.3333,0,26
2021-11-15,2,67108864,2,1048576,2.50917,40,0,26
2021-11-15,2,67108864,1,1048576,1.25507,26.6667,0,26
2021-11-15,2,134217728,4096,2097152,76.9008,79.9609,0,27
2021-11-15,2,134217728,2048,2097152,75.8773,79.9219,0,27
2021-11-15,2,134217728,1024,2097152,73.8829,79.844,0,27
2021-11-15,2,134217728,512,2097152,67.6728,79.6886,0,27
2021-11-15,2,134217728,256,2097152,63.1798,79.3798,0,27
2021-11-15,2,134217728,128,2097152,51.4247,78.7692,0,27
2021-11-15,2,134217728,64,2097152,38.9612,77.5757,0,27
2021-11-15,2,134217728,32,2097152,26.2395,75.2941,0,27
2021-11-15,2,134217728,16,2097152,16.5694,71.1111,0,27
2021-11-15,2,134217728,8,2097152,8.86773,64,0,27
2021-11-15,2,134217728,4,2097152,4.72736,53.3333,0,27
2021-11-15,2,134217728,2,2097152,2.50916,40,0,27
2021-11-15,2,134217728,1,2097152,1.25507,26.6667,0,27
2021-11-15,2,268435456,4096,4194304,76.8971,79.9609,0,28
2021-11-15,2,268435456,2048,4194304,75.8776,79.9219,0,28
2021-11-15,2,268435456,1024,4194304,73.8836,79.844,0,28
2021-11-15,2,268435456,512,4194304,67.6635,79.6887,0,28
2021-11-15,2,268435456,256,4194304,63.183,79.3798,0,28
2021-11-15,2,268435456,128,4194304,51.4257,78.7692,0,28
2021-11-15,2,268435456,64,4194304,38.9606,77.5757,0,28
2021-11-15,2,268435456,32,4194304,26.2397,75.2941,0,28
2021-11-15,2,268435456,16,4194304,16.5696,71.1111,0,28
2021-11-15,2,268435456,8,4194304,8.86772,64,0,28
2021-11-15,2,268435456,4,4194304,4.72735,53.3333,0,28
2021-11-15,2,268435456,2,4194304,2.50917,40,0,28
2021-11-15,2,268435456,1,4194304,1.25507,26.6667,0,28
2021-11-15,2,536870912,4096,8388608,76.8916,79.9609,0,29
2021-11-15,2,536870912,2048,8388608,75.8797,79.9219,0,29
2021-11-15,2,536870912,1024,8388608,73.8835,79.844,0,29
2021-11-15,2,536870912,512,8388608,67.6616,79.6887,0,29
2021-11-15,2,536870912,256,8388608,63.1835,79.3798,0,29
2021-11-15,2,536870912,128,8388608,51.4254,78.7692,0,29
2021-11-15,2,536870912,64,8388608,38.9602,77.5757,0,29
2021-11-15,2,536870912,32,8388608,26.2396,75.2941,0,29
2021-11-15,2,536870912,16,8388608,16.5696,71.1111,0,29
2021-11-15,2,536870912,8,8388608,8.86772,64,0,29
2021-11-15,2,536870912,4,8388608,4.72735,53.3333,0,29
2021-11-15,2,536870912,2,8388608,2.50916,40,0,29
2021-11-15,2,536870912,1,8388608,1.25507,26.6667,0,29
2021-11-15,2,1073741824,4096,16777216,76.8919,79.9609,0,30
2021-11-15,2,1073741824,2048,16777216,75.8776,79.9219,0,30
2021-11-15,2,1073741824,1024,16777216,73.8835,79.844,0,30
2021-11-15,2,1073741824,512,16777216,67.661,79.6887,0,30
2021-11-15,2,1073741824,256,16777216,63.1852,79.3798,0,30
2021-11-15,2,1073741824,128,16777216,51.4252,78.7692,0,30
2021-11-15,2,1073741824,64,16777216,38.9601,77.5757,0,30
2021-11-15,2,1073741824,32,16777216,26.2396,75.2941,0,30
2021-11-15,2,1073741824,16,16777216,16.5696,71.1111,0,30
2021-11-15,2,1073741824,8,16777216,8.86772,64,0,30
2021-11-15,2,1073741824,4,16777216,4.72735,53.3333,0,30
2021-11-15,2,1073741824,2,16777216,2.50916,40,0,30
2021-11-15,2,1073741824,1,16777216,1.25507,26.6667,0,30
2021-11-15,2,2147483648,4096,33554432,76.8913,79.961,0,31
2021-11-15,2,2147483648,2048,33554432,75.8784,79.9219,0,31
2021-11-15,2,2147483648,1024,33554432,73.8835,79.844,0,31
2021-11-15,2,2147483648,512,33554432,67.6612,79.6887,0,31
2021-11-15,2,2147483648,256,33554432,63.185,79.3798,0,31
2021-11-15,2,2147483648,128,33554432,51.425,78.7692,0,31
2021-11-15,2,2147483648,64,33554432,38.9601,77.5758,0,31
2021-11-15,2,2147483648,32,33554432,26.2396,75.2941,0,31
2021-11-15,2,2147483648,16,33554432,16.5696,71.1111,0,31
2021-11-15,2,2147483648,8,33554432,8.86772,64,0,31
2021-11-15,2,2147483648,4,33554432,4.72735,53.3333,0,31
2021-11-15,2,2147483648,2,33554432,2.50916,40,0,31
2021-11-15,2,2147483648,1,33554432,1.25507,26.6667,0,31
2021-11-15,2,4294967296,4096,67108864,76.8912,79.961,0,32
2021-11-15,2,4294967296,2048,67108864,75.8785,79.9219,0,32
2021-11-15,2,4294967296,1024,67108864,73.8835,79.8441,0,32
2021-11-15,2,4294967296,512,67108864,67.6607,79.6887,0,32
2021-11-15,2,4294967296,256,67108864,63.185,79.3798,0,32
2021-11-15,2,4294967296,128,67108864,51.425,78.7692,0,32
2021-11-15,2,4294967296,64,67108864,38.9601,77.5758,0,32
2021-11-15,2,4294967296,32,67108864,26.2396,75.2941,0,32
2021-11-15,2,4294967296,16,67108864,16.5696,71.1111,0,32
2021-11-15,2,4294967296,8,67108864,8.86772,64,0,32
2021-11-15,2,4294967296,4,67108864,4.72735,53.3333,0,32
2021-11-15,2,4294967296,2,67108864,2.50916,40,0,32
2021-11-15,2,4294967296,1,67108864,1.25507,26.6667,0,32
2021-11-15,2,8589934528,4096,134217727,76.8911,79.961,0,32
2021-11-15,2,8589934528,2048,134217727,75.8937,79.922,0,32
2021-11-15,2,8589934528,1024,134217727,73.8835,79.8441,0,32
2021-11-15,2,8589934528,512,134217727,67.6606,79.6887,0,32
2021-11-15,2,8589934528,256,134217727,63.1253,79.3798,0,32
2021-11-15,2,8589934528,128,134217727,51.425,78.7692,0,32
2021-11-15,2,8589934528,64,134217727,38.9601,77.5758,0,32
2021-11-15,2,8589934528,32,134217727,26.2396,75.2941,0,32
2021-11-15,2,8589934528,16,134217727,16.5696,71.1111,0,32
2021-11-15,2,8589934528,8,134217727,8.86772,64,0,32
2021-11-15,2,8589934528,4,134217727,4.72735,53.3333,0,32
2021-11-15,2,8589934528,2,134217727,2.50916,40,0,32
