TimeStamp,Iteration[#],Trgt_Address[Byte],Brst_size[#beats],WrittenWords[512b],RD_BW[Gbit/s],WR_BW[Gbit/s],faults[#],first_faulty_address[byte],PowOfTwoBytes
2021-11-15,2,512,32,8,9.41176,58.1818,0,0,9
2021-11-15,1,512,16,8,9.41176,58.1818,0,0,9
2021-11-15,2,512,16,8,9.41176,58.1818,0,0,9
2021-11-15,1,512,8,8,9.41176,58.1818,0,0,9
2021-11-15,2,512,8,8,9.41176,58.1818,0,0,9
2021-11-15,1,512,4,8,4.92308,45.7143,0,0,9
2021-11-15,2,512,4,8,5,45.7143,0,0,9
2021-11-15,1,512,2,8,2.30216,35.5556,0,0,9
2021-11-15,2,512,2,8,2.15488,35.5556,0,0,9
2021-11-15,1,512,1,8,1.28,27.8261,0,0,9
2021-11-15,2,512,1,8,1.18519,27.8261,0,0,9
2021-11-15,1,1024,4096,16,16.8421,67.3684,0,0,10
2021-11-15,2,1024,4096,16,16.8421,67.3684,0,0,10
2021-11-15,1,1024,2048,16,16.8421,67.3684,0,0,10
2021-11-15,2,1024,2048,16,12.9293,67.3684,0,0,10
2021-11-15,1,1024,1024,16,16.8421,67.3684,0,0,10
2021-11-15,2,1024,1024,16,16.8421,67.3684,0,0,10
2021-11-15,1,1024,512,16,16.8421,67.3684,0,0,10
2021-11-15,2,1024,512,16,16.8421,67.3684,0,0,10
2021-11-15,1,1024,256,16,16.8421,67.3684,0,0,10
2021-11-15,2,1024,256,16,16.8421,67.3684,0,0,10
2021-11-15,1,1024,128,16,16.8421,67.3684,0,0,10
2021-11-15,2,1024,128,16,16.8421,67.3684,0,0,10
2021-11-15,1,1024,64,16,16.8421,67.3684,0,0,10
2021-11-15,2,1024,64,16,16,67.3684,0,0,10
2021-11-15,1,1024,32,16,16.8421,67.3684,0,0,10
2021-11-15,2,1024,32,16,16.8421,67.3684,0,0,10
2021-11-15,1,1024,16,16,16.8421,67.3684,0,0,10
2021-11-15,2,1024,16,16,16.8421,67.3684,0,0,10
2021-11-15,1,1024,8,16,9.41176,58.1818,0,0,10
2021-11-15,2,1024,8,16,9.27536,58.1818,0,0,10
2021-11-15,1,1024,4,16,5,49.2308,0,0,10
2021-11-15,2,1024,4,16,4.94208,49.2308,0,0,10
2021-11-15,1,1024,2,16,2.49513,37.6471,0,0,10
2021-11-15,2,1024,2,16,2.54473,37.6471,0,0,10
2021-11-15,1,1024,1,16,1.22605,27.234,0,0,10
2021-11-15,2,1024,1,16,1.24878,27.234,0,0,10
2021-11-15,1,2048,4096,32,27.8261,73.1429,0,0,11
2021-11-15,2,2048,4096,32,27.8261,73.1429,0,0,11
2021-11-15,1,2048,2048,32,27.8261,73.1429,0,0,11
2021-11-15,2,2048,2048,32,27.8261,73.1429,0,0,11
2021-11-15,1,2048,1024,32,27.8261,73.1429,0,0,11
2021-11-15,2,2048,1024,32,27.8261,73.1429,0,0,11
2021-11-15,1,2048,512,32,27.8261,73.1429,0,0,11
2021-11-15,2,2048,512,32,27.8261,73.1429,0,0,11
2021-11-15,1,2048,256,32,26.9474,73.1429,0,0,11
2021-11-15,2,2048,256,32,27.8261,73.1429,0,0,11
2021-11-15,1,2048,128,32,27.8261,73.1429,0,0,11
2021-11-15,2,2048,128,32,27.8261,73.1429,0,0,11
2021-11-15,1,2048,64,32,27.8261,73.1429,0,0,11
2021-11-15,2,2048,64,32,27.8261,73.1429,0,0,11
2021-11-15,1,2048,32,32,27.8261,73.1429,0,0,11
2021-11-15,2,2048,32,32,27.8261,73.1429,0,0,11
2021-11-15,1,2048,16,32,16.8421,67.3684,0,0,11
2021-11-15,2,2048,16,32,16.8421,67.3684,0,0,11
2021-11-15,1,2048,8,32,9.34307,60.9524,0,0,11
2021-11-15,2,2048,8,32,9.41176,60.9524,0,0,11
2021-11-15,1,2048,4,32,4.49123,51.2,0,0,11
2021-11-15,2,2048,4,32,4.98054,51.2,0,0,11
2021-11-15,1,2048,2,32,2.52217,38.7879,0,0,11
2021-11-15,2,2048,2,32,2.43578,38.7879,0,0,11
2021-11-15,1,2048,1,32,1.22841,26.9474,0,0,11
2021-11-15,2,2048,1,32,1.21963,26.9474,0,0,11
2021-11-15,1,4096,4096,64,41.2903,76.4179,0,0,12
2021-11-15,2,4096,4096,64,41.2903,76.4179,0,0,12
2021-11-15,1,4096,2048,64,41.2903,76.4179,0,0,12
2021-11-15,2,4096,2048,64,41.2903,76.4179,0,0,12
2021-11-15,1,4096,1024,64,41.2903,76.4179,0,0,12
2021-11-15,2,4096,1024,64,41.2903,76.4179,0,0,12
2021-11-15,1,4096,512,64,41.2903,76.4179,0,0,12
2021-11-15,2,4096,512,64,41.2903,76.4179,0,0,12
2021-11-15,1,4096,256,64,41.2903,76.4179,0,0,12
2021-11-15,2,4096,256,64,33.9073,76.4179,0,0,12
2021-11-15,1,4096,128,64,41.2903,76.4179,0,0,12
2021-11-15,2,4096,128,64,41.2903,76.4179,0,0,12
2021-11-15,1,4096,64,64,40.315,76.4179,0,0,12
2021-11-15,2,4096,64,64,41.2903,76.4179,0,0,12
2021-11-15,1,4096,32,64,27.3797,73.1429,0,0,12
2021-11-15,2,4096,32,64,22.8571,73.1429,0,0,12
2021-11-15,1,4096,16,64,14.5869,69.1892,0,0,12
2021-11-15,2,4096,16,64,13.8753,69.1892,0,0,12
2021-11-15,1,4096,8,64,9.41176,62.439,0,0,12
2021-11-15,2,4096,8,64,9.36015,62.439,0,0,12
2021-11-15,1,4096,4,64,4.91363,52.2449,0,0,12
2021-11-15,2,4096,4,64,4.72325,52.2449,0,0,12
2021-11-15,1,4096,2,64,2.45446,39.3846,0,0,12
2021-11-15,2,4096,2,64,2.50489,39.3846,0,0,12
2021-11-15,1,4096,1,64,1.24605,26.8063,0,0,12
2021-11-15,2,4096,1,64,1.25521,26.8063,0,0,12
2021-11-15,1,8192,4096,128,54.4681,78.1679,0,0,13
2021-11-15,2,8192,4096,128,54.4681,78.1679,0,0,13
2021-11-15,1,8192,2048,128,54.4681,78.1679,0,0,13
2021-11-15,2,8192,2048,128,54.4681,78.1679,0,0,13
2021-11-15,1,8192,1024,128,54.4681,78.1679,0,0,13
2021-11-15,2,8192,1024,128,54.4681,78.1679,0,0,13
2021-11-15,1,8192,512,128,54.4681,78.1679,0,0,13
2021-11-15,2,8192,512,128,54.4681,78.1679,0,0,13
2021-11-15,1,8192,256,128,48.3019,78.1679,0,0,13
2021-11-15,2,8192,256,128,46.3348,78.1679,0,0,13
2021-11-15,1,8192,128,128,54.4681,78.1679,0,0,13
2021-11-15,2,8192,128,128,54.4681,78.1679,0,0,13
2021-11-15,1,8192,64,128,40.7968,76.4179,0,0,13
2021-11-15,2,8192,64,128,41.2903,76.4179,0,0,13
2021-11-15,1,8192,32,128,23.7037,74.2029,0,0,13
2021-11-15,2,8192,32,128,27.8261,74.2029,0,0,13
2021-11-15,1,8192,16,128,16.4366,70.137,0,0,13
2021-11-15,2,8192,16,128,15.1479,70.137,0,0,13
2021-11-15,1,8192,8,128,8.88118,63.2099,0,0,13
2021-11-15,2,8192,8,128,8.99034,63.2099,0,0,13
2021-11-15,1,8192,4,128,4.70156,52.7835,0,0,13
2021-11-15,2,8192,4,128,4.78281,52.7835,0,0,13
2021-11-15,1,8192,2,128,2.48544,39.6899,0,0,13
2021-11-15,2,8192,2,128,2.48483,39.6899,0,0,13
2021-11-15,1,8192,1,128,1.24756,26.7363,0,0,13
2021-11-15,2,8192,1,128,1.24969,26.7363,0,0,13
2021-11-15,1,16384,4096,256,64.8101,79.0734,0,0,14
2021-11-15,2,16384,4096,256,60.413,79.0734,0,0,14
2021-11-15,1,16384,2048,256,64.8101,79.0734,0,0,14
2021-11-15,2,16384,2048,256,64.2006,79.0734,0,0,14
2021-11-15,1,16384,1024,256,64.8101,79.0734,0,0,14
2021-11-15,2,16384,1024,256,55.6522,79.0734,0,0,14
2021-11-15,1,16384,512,256,64.8101,79.0734,0,0,14
2021-11-15,2,16384,512,256,64.8101,79.0734,0,0,14
2021-11-15,1,16384,256,256,64.8101,79.0734,0,0,14
2021-11-15,2,16384,256,256,56.2637,79.0734,0,0,14
2021-11-15,1,16384,128,256,54.4681,78.1679,0,0,14
2021-11-15,2,16384,128,256,54.0369,78.1679,0,0,14
2021-11-15,1,16384,64,256,41.0421,76.9925,0,0,14
2021-11-15,2,16384,64,256,41.2903,76.9925,0,0,14
2021-11-15,1,16384,32,256,27.8261,74.7445,0,0,14
2021-11-15,2,16384,32,256,25.7935,74.7445,0,0,14
2021-11-15,1,16384,16,256,16.5428,70.6207,0,0,14
2021-11-15,2,16384,16,256,16.7047,70.6207,0,0,14
2021-11-15,1,16384,8,256,9.08204,63.6025,0,0,14
2021-11-15,2,16384,8,256,8.84283,63.6025,0,0,14
2021-11-15,1,16384,4,256,4.75615,53.057,0,0,14
2021-11-15,2,16384,4,256,4.71455,53.057,0,0,14
2021-11-15,1,16384,2,256,2.51381,39.8444,0,0,14
2021-11-15,2,16384,2,256,2.51412,39.8444,0,0,14
2021-11-15,1,16384,1,256,1.25475,26.7014,0,0,14
2021-11-15,2,16384,1,256,1.25459,26.7014,0,0,14
2021-11-15,1,32768,4096,512,71.6084,79.534,0,0,15
2021-11-15,2,32768,4096,512,68.7248,79.534,0,0,15
2021-11-15,1,32768,2048,512,71.6084,79.534,0,0,15
2021-11-15,2,32768,2048,512,68.8403,79.534,0,0,15
2021-11-15,1,32768,1024,512,68.7248,79.534,0,0,15
2021-11-15,2,32768,1024,512,71.6084,79.534,0,0,15
2021-11-15,1,32768,512,512,68.7248,79.534,0,0,15
2021-11-15,2,32768,512,512,71.6084,79.534,0,0,15
2021-11-15,1,32768,256,512,64.8101,79.0734,0,0,15
2021-11-15,2,32768,256,512,62.439,79.0734,0,0,15
2021-11-15,1,32768,128,512,51.0087,78.4674,0,0,15
2021-11-15,2,32768,128,512,50.2577,78.4674,0,0,15
2021-11-15,1,32768,64,512,41.0421,77.283,0,0,15
2021-11-15,2,32768,64,512,39.5749,77.283,0,0,15
2021-11-15,1,32768,32,512,25.7448,75.0183,0,0,15
2021-11-15,2,32768,32,512,26.6147,75.0183,0,0,15
2021-11-15,1,32768,16,512,16.2733,70.8651,0,0,15
2021-11-15,2,32768,16,512,16.4168,70.8651,0,0,15
2021-11-15,1,32768,8,512,8.85239,63.8006,0,0,15
2021-11-15,2,32768,8,512,8.95692,63.8006,0,0,15
2021-11-15,1,32768,4,512,4.74239,53.1948,0,0,15
2021-11-15,2,32768,4,512,4.73964,53.1948,0,0,15
2021-11-15,1,32768,2,512,2.50535,39.922,0,0,15
2021-11-15,2,32768,2,512,2.5052,39.922,0,0,15
2021-11-15,1,32768,1,512,1.25356,26.684,0,0,15
2021-11-15,2,32768,1,512,1.25406,26.684,0,0,15
