thr[#],thread[ms],openmp[ms]
1,17727,17943
2,9035,8949
3,6028,6010
4,4443,4579
5,3674,3543
6,3509,3474
7,2786,2858
8,2794,2861
9,2125,2179
10,1810,1978
11,1830,1821
12,2111,2129
13,2912,2836
14,1743,1779
