thr[#],thread[ms],openmp[ms]
1,17709,17528
2,8897,8979
3,5970,6047
4,4445,4463
5,3643,3547
6,3481,3442
7,2859,2827
8,2932,2854
9,2085,2183
10,1871,1819
11,1884,1921
12,2061,2246
13,2760,2738
